ID_USUARIO,NOMBRE,PRIMER_APELLIDO,SEGUNDO_APELLIDO,TELEFONO,CORREO,COMUNA_USER,NOMBRE_INSTITUCION,TIPO_INSTITUCION,TIPO_FORMACION,NOMBRE_TITULO,NOMBRE_HABILIDAD,NOMBRE_IDIOMA,NOM_LOGRO,ID_EXPERIENCIA,NOMBRE_EMPLEO,FECHA_INICIO_EXP,FECHA_TERMINO_EXP,DESCRIPCION,COMUNA_INSTITU,TIPO_EMPLEO_EXP,TIPO_CARGO_EXP,NOM_MODALIDAD,COMPETENCIA_USER,ID_FORMULARIO,FECHA_FORMULARIO,PRETENCION_RENTA,INFO_ADICIONAL,ID_OFERTA,NOM_OFERTA,FECHA_OFERTA,ANHOS_EXPERIENCIA_OFERTA,NOM_CARGO_OFERTA,MODALIDAD_OFERTA,COMUNA_OFERTA,COMPETENCIA_OFERTA
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,python,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,sql
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,sql,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,sql
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,JavaScript,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,sql
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,python,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,R
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,sql,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,R
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,JavaScript,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,R
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,python,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,JavaScript
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,sql,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,JavaScript
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,JavaScript,144,2023-11-18 00:00:00,1200000,Tengo experiencia en...,142,Científico de datos,2023-11-16 00:00:00,5,Analista de Datos,Hibrido,Las Condes,JavaScript
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,python,25,2023-11-12 00:00:00,1500000,asdadad13123adasdasd,438,Ing. Informático,2023-11-10 00:00:00,2,Ingeniero Informático,Hibrido,Santiago,sql
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,sql,25,2023-11-12 00:00:00,1500000,asdadad13123adasdasd,438,Ing. Informático,2023-11-10 00:00:00,2,Ingeniero Informático,Hibrido,Santiago,sql
3,Alvaro,Orrego,Muñoz,31271572,alv.orrego@duocuc.cl,Independencia,Duoc UC,Instituto,Superior completa,Ing. en Informática,Adaptabilidad,Inglés,Reconocimiento en competencia de conocimientos,,,,,,,,,,JavaScript,25,2023-11-12 00:00:00,1500000,asdadad13123adasdasd,438,Ing. Informático,2023-11-10 00:00:00,2,Ingeniero Informático,Hibrido,Santiago,sql
